age,distance_from_home,education,environment_satisfaction,job_involvement,job_level,job_satisfaction,monthly_income,monthly_rate,num_companies_worked,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,attrition
46,1,2,1,4,4,1,18671,3325,4,14,2,2,1,28,5,2,11,11,5,0
65,30,3,3,4,5,2,11033,24971,3,13,4,1,2,30,2,3,30,14,0,0
48,19,2,2,4,1,3,13835,21175,4,10,4,3,2,38,5,1,27,1,5,0
40,29,3,4,2,4,2,2861,11401,1,23,1,4,3,24,5,2,14,5,11,1
61,20,5,1,3,4,2,6129,6247,7,11,3,2,1,33,0,2,32,1,15,1
55,18,2,2,2,1,2,1803,8050,0,19,3,1,0,18,1,4,10,10,0,1
33,26,3,1,2,5,3,7987,21990,8,16,4,2,2,38,0,4,38,0,7,1
36,7,4,1,3,1,3,1500,22347,0,19,4,4,2,31,3,1,31,10,0,1
28,9,1,1,4,4,3,2228,7333,4,20,1,4,0,32,5,4,15,7,4,1
29,27,3,3,2,2,2,17480,22111,8,10,3,2,0,8,0,3,8,8,8,1
53,6,2,3,3,5,1,14109,26517,0,22,3,3,0,40,6,2,40,14,5,0
30,20,2,1,1,4,3,17255,7606,0,22,2,3,1,13,4,3,11,4,7,0
19,6,4,4,4,2,1,9111,12172,2,18,2,3,0,18,4,2,18,8,3,0
28,1,3,2,1,2,2,4884,17347,7,15,2,4,2,33,6,1,13,3,2,0
18,6,1,1,4,5,4,17008,26249,2,14,4,4,3,37,0,2,11,9,11,0
58,16,2,2,4,4,3,19927,22222,1,15,3,1,3,27,4,4,23,3,4,0
27,4,5,1,3,3,1,8699,11534,5,22,2,2,3,38,6,1,8,4,8,1
20,3,5,2,3,2,3,11496,11881,9,10,4,1,3,21,0,1,20,18,7,1
25,22,3,4,1,1,2,11738,13666,4,11,3,3,2,32,5,1,11,11,11,1
33,9,4,2,1,3,3,9383,12054,8,16,3,1,1,37,0,2,36,10,14,1
53,24,1,1,2,1,2,11018,6719,2,15,2,1,1,30,5,3,4,4,4,0
60,24,3,4,2,5,4,14435,14056,3,16,1,4,2,13,2,4,8,8,7,1
57,25,3,1,4,2,2,16485,18919,9,21,3,3,3,37,5,3,19,12,4,1
56,22,1,1,1,2,4,15528,17398,7,15,3,2,2,8,2,2,5,3,5,1
37,8,2,3,2,5,4,14559,2686,1,16,1,1,3,39,4,3,39,12,8,1
64,7,5,2,3,2,4,15132,22156,4,25,2,2,3,28,4,3,12,4,12,0
25,12,2,1,3,3,1,17608,8756,8,16,3,4,2,15,6,3,15,8,1,1
