age,distance_from_home,education,environment_satisfaction,job_involvement,job_level,job_satisfaction,monthly_income,monthly_rate,num_companies_worked,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,attrition
56,19,3,4,1,2,3,3611,21623,9,18,2,3,3,40,5,3,40,8,13,1
46,19,5,2,4,4,1,19977,13672,0,25,1,1,2,13,4,4,13,12,13,1
32,26,4,1,3,1,1,17479,18891,0,21,4,1,3,24,4,2,24,17,7,1
60,22,2,2,4,5,2,10180,9704,7,19,3,2,3,29,0,2,29,5,12,1
25,29,3,1,2,1,2,10304,19509,5,15,2,1,3,30,5,3,6,2,2,1
38,12,3,2,1,2,4,15610,19269,7,11,3,2,1,35,4,4,11,9,11,0
56,3,3,3,2,2,4,9437,21225,7,11,3,4,2,25,0,1,2,2,2,0
36,13,2,3,2,1,1,11350,9975,7,20,2,4,2,26,6,4,26,9,6,1
40,18,3,4,1,2,1,13521,14069,9,13,2,4,3,27,0,3,18,8,10,1
28,8,2,3,2,4,2,7560,8565,6,18,3,2,3,36,2,4,36,11,0,0
28,21,3,2,1,2,2,6247,24467,6,12,3,3,3,37,0,4,6,6,5,0
41,15,5,2,4,5,1,5077,6870,9,15,4,3,1,29,6,2,15,8,9,1
53,1,5,3,2,4,3,11858,20909,3,11,1,4,1,31,5,3,31,16,5,0
57,3,2,4,1,3,3,12391,11117,8,24,3,2,0,7,5,4,7,7,7,1
41,26,5,3,3,2,4,11946,22599,1,10,1,2,2,13,4,3,12,12,9,1
20,8,2,1,2,2,1,16186,3938,8,25,4,4,0,36,3,1,10,10,10,1
39,4,5,1,4,5,1,2417,13554,9,21,1,1,0,34,2,3,19,5,5,1
19,16,5,1,1,5,4,17494,5232,2,14,1,4,3,38,5,1,17,9,2,0
41,30,2,3,2,1,2,9954,22128,1,17,4,2,1,36,4,3,36,0,5,0
61,23,4,3,2,1,2,14591,24605,3,19,3,1,0,14,4,3,5,0,5,1
47,10,5,3,2,1,3,8391,5465,4,19,1,3,0,19,2,4,19,8,2,1
55,12,3,1,4,5,1,12364,2440,1,11,3,1,0,36,2,4,31,2,9,1
19,14,4,4,1,1,2,11371,18845,0,19,3,3,3,31,4,1,28,5,8,1
38,14,2,2,3,1,3,3504,7413,9,18,2,2,3,39,6,1,3,3,3,1
50,2,4,3,3,3,3,6239,13663,4,21,3,4,1,12,3,2,6,6,6,0
29,23,1,4,3,1,3,17676,7755,8,17,3,4,0,19,6,4,19,4,12,1
39,5,1,2,1,2,2,19118,7012,4,12,1,4,0,33,1,1,33,15,3,1
61,5,5,2,3,5,2,6120,21547,9,10,3,4,1,35,6,4,35,1,2,0
42,6,5,2,4,4,1,7393,18126,8,13,3,4,1,15,4,3,6,2,5,0
44,13,3,4,1,3,1,3196,8752,9,17,2,2,1,32,2,2,32,2,14,1
59,9,4,4,2,5,3,4466,2005,5,12,2,2,2,21,0,4,14,9,8,1
45,30,1,1,4,5,3,2906,6776,2,19,1,4,1,31,0,4,31,2,2,1
33,22,5,4,2,2,2,19105,9038,3,21,1,1,3,35,2,4,21,14,7,1
32,28,4,4,3,1,2,12883,8414,3,11,2,4,2,39,6,4,39,13,5,1
64,29,5,4,4,2,1,16437,24123,0,16,2,3,1,28,2,1,28,3,3,1
61,15,5,2,1,1,1,15497,5970,2,13,4,3,3,29,1,1,24,9,4,0
20,14,1,3,4,1,4,2816,13050,2,15,3,3,1,12,5,2,4,4,2,1
54,24,1,1,2,5,1,11713,4606,0,14,1,3,1,29,2,3,13,10,13,1
24,7,5,3,1,1,2,4849,18482,8,11,1,4,2,34,0,3,34,7,1,0
38,25,2,3,4,3,3,7849,2525,0,19,3,3,3,6,3,2,1,1,1,0
26,20,5,4,4,3,4,2058,8337,8,11,3,1,0,24,2,3,24,7,12,1
56,2,5,1,4,3,1,12730,3180,0,23,1,4,1,34,1,1,15,11,2,0
35,7,3,3,4,5,1,19706,26451,1,18,2,3,2,15,3,4,15,15,5,0
21,6,3,3,1,2,2,18332,22875,1,20,2,4,3,29,1,3,10,10,4,0
42,17,3,1,2,4,4,5359,15057,5,19,3,4,1,34,3,4,34,18,9,1
31,27,2,4,4,1,1,13809,7922,6,11,1,4,0,38,2,4,22,5,10,1
26,25,2,3,1,4,3,6660,5071,0,17,3,2,3,36,0,1,4,4,4,0
43,25,5,2,2,2,2,8254,24025,2,17,2,3,3,34,3,4,34,7,4,0
19,28,3,3,4,2,4,13822,25765,1,10,4,2,2,28,4,3,28,17,10,0
37,2,2,2,2,5,1,3093,4792,7,10,4,1,1,33,5,1,4,4,4,1
45,3,1,4,2,3,1,12730,23162,8,22,2,1,1,21,1,2,2,2,2,0
64,5,5,3,1,3,4,18947,15844,1,13,3,2,3,37,3,1,5,5,4,0
24,5,4,1,2,2,2,9217,2014,1,11,4,3,1,22,1,3,22,14,10,1
61,1,5,1,1,5,4,17558,20799,9,21,2,4,3,38,0,1,1,1,1,0
25,8,4,3,4,5,4,18718,4685,8,24,1,1,0,17,1,3,17,8,12,1
64,12,3,4,2,1,2,17705,18212,3,10,3,1,2,31,1,3,29,16,5,0
52,24,4,4,2,3,1,13342,11428,4,18,3,1,1,37,4,1,37,18,14,1
31,4,3,1,3,2,3,13239,10159,8,22,4,3,1,40,1,3,4,3,4,0
34,13,1,3,4,4,2,14854,26310,5,12,3,2,2,10,3,2,10,9,1,0
53,23,4,4,4,3,3,14897,6100,9,23,4,2,0,25,1,3,0,0,0,1
57,15,5,1,3,1,1,12419,8374,8,23,4,3,0,31,2,2,9,9,9,1
21,11,3,2,3,5,4,11064,8004,8,23,2,1,0,40,1,2,40,8,15,0
19,10,5,3,1,2,3,16003,7521,6,10,4,3,0,25,2,3,25,4,5,1
23,3,2,2,1,3,1,11259,13412,9,11,1,3,0,32,5,4,32,13,13,1
59,22,3,2,2,4,1,6674,13755,8,17,3,2,3,26,1,2,26,6,6,1
21,14,4,4,2,1,4,6002,25539,4,14,4,3,1,11,6,2,11,5,11,0
46,16,3,4,2,1,4,1910,21681,4,20,3,3,1,27,5,1,1,1,1,0
35,10,5,4,2,3,1,1949,21017,7,16,4,1,1,9,6,2,0,0,0,1
43,29,1,3,1,4,1,19898,5890,9,15,2,4,3,10,1,2,0,0,0,0
61,10,3,2,4,1,3,12523,19175,3,22,1,1,2,32,3,2,32,6,6,1
51,12,4,3,2,2,1,12221,11191,8,25,3,2,0,21,6,2,21,2,14,1
27,30,2,4,4,1,1,17484,2151,6,25,2,4,2,38,2,4,11,5,10,1
53,9,1,2,2,4,3,5646,21447,6,10,3,1,0,38,5,2,38,13,9,1
31,1,2,3,3,5,2,7945,24751,2,15,2,3,0,35,5,3,35,11,3,0
48,5,3,3,2,5,3,3400,26288,3,20,1,3,2,21,2,4,20,17,14,0
65,20,5,1,2,3,3,12563,15861,6,16,4,4,1,26,4,2,19,11,1,0
32,8,5,3,2,4,4,19727,20475,4,13,2,4,3,35,1,3,35,6,8,0
25,11,4,4,1,1,3,1352,17032,2,17,3,3,2,25,1,3,25,4,15,1
31,12,5,3,3,1,1,16489,6599,0,17,3,2,1,39,3,4,30,11,14,0
40,1,1,2,2,5,1,2018,14274,6,16,2,1,0,2,4,4,0,0,0,1
57,25,5,3,2,5,1,18563,14218,5,25,1,3,1,37,4,3,37,10,12,1
38,22,4,1,4,2,2,6193,25792,9,20,1,1,0,13,6,4,13,3,8,1
33,20,3,2,3,5,1,16701,4977,6,24,4,1,0,38,3,4,25,13,5,1
62,28,3,2,2,2,2,4536,19226,1,11,4,1,1,26,5,1,6,6,6,1
35,25,5,1,4,1,1,16449,5793,3,15,3,1,0,14,2,4,11,11,11,1
64,11,2,4,4,2,3,12842,3659,1,15,3,2,3,23,5,1,23,6,1,0
41,5,3,2,1,2,4,19886,7162,7,21,4,2,1,18,0,4,18,0,2,1
43,15,5,4,4,3,1,4819,12705,6,24,4,2,2,40,3,4,8,8,4,1
42,5,4,2,2,5,2,18363,24830,0,21,4,3,0,34,2,3,34,15,10,1
62,12,5,2,1,2,2,1976,18040,1,16,2,3,0,11,5,1,3,3,3,0
58,5,3,4,1,1,4,19664,6270,1,15,4,3,3,31,5,4,31,18,14,1
46,17,4,2,2,4,1,6897,15286,3,11,2,2,3,19,4,2,5,5,4,0
32,17,5,4,3,2,3,16957,5603,2,17,2,1,2,27,3,4,27,8,12,0
62,24,1,1,4,5,1,16359,15772,0,24,4,2,0,27,0,3,27,11,8,1
18,12,4,4,1,3,1,14240,25148,1,13,1,3,2,39,1,3,39,17,9,1
42,24,1,1,3,1,4,1107,19600,8,18,1,4,2,28,3,3,28,9,2,1
24,28,2,2,2,3,1,16524,4291,0,17,3,3,0,39,0,1,4,4,4,0
26,15,4,4,4,4,3,2626,15123,8,23,4,1,2,39,0,1,4,4,1,1
41,15,1,2,4,2,2,7229,5811,6,12,3,2,2,36,3,1,36,10,9,1
18,6,3,4,1,2,4,7877,15347,1,12,4,4,3,40,2,2,40,15,7,0
61,12,3,1,4,5,3,1874,23377,1,17,3,4,3,27,3,1,27,7,6,1
25,27,2,1,4,2,2,6543,15851,4,11,2,1,2,40,5,3,40,14,11,1
41,29,4,4,4,1,4,4809,17513,4,18,4,2,0,9,6,1,8,8,8,1
28,20,4,1,4,4,4,11603,7142,3,13,1,4,3,28,4,1,28,6,2,0
34,18,4,2,2,3,2,3107,25246,9,24,4,3,2,17,5,4,13,1,5,1
25,14,2,2,3,4,2,12745,24917,9,15,3,1,1,37,0,1,37,18,4,1
52,2,4,3,2,2,3,10465,14194,2,12,3,4,1,39,0,4,39,8,4,0
52,9,3,1,2,3,1,1559,9526,3,12,3,1,2,33,1,1,33,17,9,1
50,5,1,2,1,5,1,9308,21362,9,12,3,2,1,36,0,4,36,12,7,1
22,20,3,4,4,4,1,16250,23731,3,20,3,2,3,19,6,3,13,0,0,0
59,26,3,1,2,3,1,14255,15513,1,22,3,2,0,22,1,1,17,17,0,1
56,29,1,2,4,3,1,4046,14084,4,19,1,3,2,32,0,3,32,12,2,0
58,1,3,1,2,3,3,14856,26317,4,21,3,4,3,33,0,1,33,13,10,1
45,23,2,4,2,1,4,17427,15349,4,23,1,2,0,27,3,2,27,16,1,0
24,3,1,2,1,4,3,1508,17068,9,23,4,3,1,35,3,2,35,0,1,0
26,6,3,3,3,3,3,7107,6595,0,23,2,2,1,36,4,3,36,4,1,0
25,5,5,3,3,4,3,14476,17402,5,21,1,2,1,22,5,3,22,13,3,1
29,21,3,1,2,3,4,4439,24595,1,11,4,4,1,25,2,2,16,16,0,0
51,27,2,4,1,5,3,14136,11955,6,17,2,3,3,27,4,2,10,10,9,1
50,5,4,2,4,5,3,15167,20554,3,25,1,2,3,31,0,4,31,11,14,0
65,1,3,4,4,5,4,18300,15996,4,18,1,3,0,36,4,1,36,14,8,1
40,17,4,2,2,2,3,18182,26911,4,24,4,3,2,21,3,2,14,3,13,0
41,19,5,1,3,3,1,5971,21405,4,17,3,2,0,9,5,3,3,3,3,0
54,14,3,2,1,2,2,19144,26220,1,24,1,2,2,38,0,3,38,2,4,0
52,12,1,4,3,4,3,16883,3185,4,19,1,1,1,37,0,2,29,10,8,0
61,10,4,4,4,2,2,1818,5285,2,12,4,4,1,32,4,3,9,9,9,1
57,20,5,1,3,4,3,11360,5447,3,16,3,2,1,22,5,1,22,15,4,0
39,21,1,4,4,4,3,12927,22375,1,20,2,1,1,36,6,4,23,6,12,0
44,18,1,2,1,4,1,17023,12662,3,19,3,4,3,35,1,1,35,6,12,0
52,24,1,1,1,2,4,4065,6899,8,11,3,2,0,11,6,4,4,4,4,1
18,27,1,2,2,3,2,4259,18060,7,13,4,3,2,36,2,4,36,16,13,1
52,11,3,4,2,2,4,18290,3935,2,21,3,4,2,18,5,2,18,12,7,0
54,30,3,1,3,3,1,13300,11445,0,22,4,3,3,36,4,3,36,8,10,1
64,2,3,2,1,3,1,1602,11274,0,23,2,1,1,22,6,4,7,7,0,0
31,25,5,4,1,4,2,5295,12335,5,22,1,2,0,24,4,2,6,6,0,1
20,18,5,4,2,2,4,10983,19669,2,15,1,1,1,39,2,3,39,18,3,0
18,29,5,3,4,3,1,4527,10545,3,20,4,2,3,12,0,3,12,12,7,1
22,25,2,4,3,5,3,2811,9479,0,14,4,2,2,36,0,4,36,17,2,1
43,7,5,2,3,3,3,13103,7255,7,22,3,3,3,28,1,3,26,7,0,0
31,24,3,1,2,5,3,10032,20269,0,18,3,1,2,17,4,1,17,5,15,0
56,15,3,3,1,2,4,13877,7062,4,19,1,3,0,23,2,3,23,5,10,1
44,11,2,4,2,2,3,8963,9066,5,13,1,3,2,40,4,1,40,2,11,0
26,18,2,4,2,2,3,16224,12712,1,14,1,3,0,7,3,3,1,1,1,0
32,23,5,4,2,3,1,9916,17991,6,13,4,1,1,15,4,4,15,1,8,1
32,12,4,2,2,1,1,7766,5022,6,23,2,2,1,39,4,4,13,4,8,0
43,6,2,3,4,3,3,18186,23649,0,22,2,2,3,16,3,2,16,11,8,0
59,20,1,2,4,3,3,19966,3547,3,23,4,1,0,5,3,1,5,5,1,0
30,23,3,3,1,4,1,2665,14210,3,17,3,2,1,34,6,1,34,15,13,1
49,30,1,1,2,4,2,16932,6204,4,25,2,1,0,39,2,4,16,4,13,1
56,13,3,2,4,3,4,7975,9590,0,22,3,1,1,37,6,4,37,5,10,0
49,20,3,2,1,5,4,3552,3368,0,17,1,2,1,39,0,4,39,3,10,0
