Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,1314,Research & Development,5,3,Medical,1,1,4,Male,46,3,3,Research Scientist,1,Married,7517,24820,2,Y,No,18,3,4,80,1,23,3,4,16,4,0,0
35,Yes,Non-Travel,166,Research & Development,15,4,Medical,1,2,3,Male,49,4,3,Research Scientist,1,Married,7882,3854,6,Y,No,13,3,2,80,1,9,5,3,0,0,0,0
42,Yes,Travel_Rarely,777,Research & Development,29,4,Medical,1,3,4,Male,41,3,1,Laboratory Technician,3,Divorced,2306,12515,6,Y,No,21,3,3,80,0,11,1,3,3,1,3,1
50,Yes,Travel_Rarely,325,Sales,15,3,Medical,1,4,3,Female,70,4,1,Sales Representative,4,Married,2481,16559,4,Y,No,12,3,4,80,0,3,3,2,0,0,0,0
34,Yes,Travel_Rarely,577,Research & Development,1,4,Life Sciences,1,5,4,Male,61,4,2,Healthcare Representative,1,Single,4993,7867,4,Y,No,11,3,2,80,2,4,3,3,3,3,2,3
34,No,Travel_Rarely,427,Sales,1,4,Medical,1,6,3,Male,66,4,2,Sales Executive,1,Divorced,5273,22423,4,Y,No,20,3,3,80,1,12,6,3,4,0,0,4
51,Yes,Travel_Rarely,1317,Research & Development,3,4,Medical,1,7,2,Male,47,3,1,Laboratory Technician,4,Single,2736,16560,2,Y,No,19,3,3,80,3,10,4,3,2,0,2,2
43,Yes,Non-Travel,189,Sales,2,4,Marketing,1,8,3,Female,58,3,3,Sales Executive,1,Married,7411,21179,1,Y,No,15,3,3,80,0,7,2,2,0,0,0,0
32,Yes,Travel_Rarely,259,Human Resources,9,3,Technical Degree,1,9,4,Male,36,3,2,Human Resources,4,Married,5025,19506,1,Y,Yes,18,3,4,80,0,4,5,4,2,2,0,0
41,Yes,Travel_Frequently,1398,Research & Development,1,4,Medical,1,10,2,Male,69,4,3,Research Scientist,1,Single,7351,8404,0,Y,Yes,23,3,1,80,1,10,2,4,6,6,3,0
32,No,Travel_Rarely,1041,Research & Development,4,4,Medical,1,11,4,Male,35,4,3,Research Scientist,2,Divorced,6908,6574,2,Y,No,14,3,4,80,1,10,1,3,9,7,1,0
32,Yes,Travel_Rarely,1457,Sales,2,3,Technical Degree,1,12,4,Male,49,3,2,Sales Executive,1,Single,5103,22181,2,Y,No,12,3,1,80,3,6,3,3,4,2,3,4
39,No,Travel_Rarely,383,Research & Development,7,1,Life Sciences,1,13,3,Female,84,3,5,Research Director,2,Divorced,13256,15960,3,Y,No,15,3,4,80,0,5,4,4,5,4,1,5
19,Yes,Travel_Frequently,758,Research & Development,12,4,Other,1,14,3,Male,85,3,5,Manager,4,Divorced,12146,9353,2,Y,Yes,18,4,2,80,1,4,4,4,1,1,1,1
21,Yes,Travel_Rarely,264,Human Resources,20,4,Technical Degree,1,15,3,Male,82,3,1,Human Resources,1,Married,2190,19219,5,Y,No,16,3,4,80,1,6,3,3,2,2,2,2
31,No,Travel_Rarely,1299,Research & Development,26,3,Medical,1,16,3,Male,62,4,2,Research Scientist,4,Married,4651,20712,2,Y,No,18,3,3,80,2,2,3,4,1,0,1,1
27,Yes,Travel_Rarely,1233,Research & Development,3,2,Life Sciences,1,17,1,Male,51,4,2,Research Scientist,2,Married,5289,20091,2,Y,Yes,21,3,1,80,1,3,6,2,1,1,1,1
