Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,753,Research & Development,12,3,Marketing,1,1,4,Male,32,4,2,Research Scientist,2,Single,4692,19259,3,Y,No,23,3,3,80,0,11,3,4,2,0,0,2
45,Yes,Travel_Rarely,789,Research & Development,11,3,Life Sciences,1,2,2,Female,93,3,2,Research Scientist,4,Married,4484,11429,0,Y,No,23,3,4,80,0,3,4,4,0,0,0,0
49,Yes,Travel_Frequently,1470,Sales,24,3,Marketing,1,3,3,Male,67,2,1,Sales Representative,4,Single,2238,13215,4,Y,No,11,4,2,80,0,10,5,4,4,4,0,0
38,No,Travel_Rarely,585,Sales,6,3,Marketing,1,4,3,Female,90,4,2,Sales Executive,3,Divorced,4730,25452,2,Y,No,21,3,4,80,1,6,0,4,0,0,0,0
27,Yes,Travel_Frequently,683,Sales,4,2,Medical,1,5,2,Female,31,3,4,Manager,4,Married,10258,12658,2,Y,No,18,3,3,80,0,7,2,3,1,1,0,1
55,No,Non-Travel,1409,Sales,1,3,Marketing,1,6,3,Male,68,2,3,Sales Executive,2,Married,7618,22714,2,Y,No,15,3,2,80,3,13,3,4,13,3,3,8
32,Yes,Travel_Rarely,854,Sales,4,4,Marketing,1,7,1,Female,89,3,1,Sales Representative,4,Married,3223,19587,0,Y,No,20,3,3,80,1,12,3,4,10,2,3,3
26,Yes,Travel_Rarely,1072,Human Resources,3,3,Technical Degree,1,8,2,Male,66,3,5,Manager,3,Married,12977,19423,1,Y,Yes,24,3,4,80,0,3,5,4,0,0,0,0
43,Yes,Travel_Rarely,404,Research & Development,1,4,Medical,1,9,4,Female,47,3,5,Manufacturing Director,1,Single,12942,11000,2,Y,No,14,3,4,80,1,7,1,3,2,0,1,2
22,Yes,Travel_Rarely,958,Research & Development,18,3,Marketing,1,10,1,Female,35,2,2,Research Scientist,3,Divorced,4690,26827,1,Y,No,24,3,1,80,0,6,4,4,1,1,1,1
28,Yes,Travel_Frequently,1188,Research & Development,5,1,Medical,1,11,1,Female,80,3,5,Manufacturing Director,3,Married,12500,17828,6,Y,Yes,22,3,2,80,1,6,3,2,2,0,0,0
40,Yes,Travel_Rarely,1297,Sales,6,3,Life Sciences,1,12,4,Male,70,4,2,Sales Executive,3,Single,5237,3037,4,Y,Yes,13,3,3,80,1,6,4,1,4,4,1,1
37,Yes,Travel_Frequently,1218,Human Resources,3,3,Marketing,1,13,2,Male,54,3,2,Human Resources,3,Married,4739,6343,3,Y,No,17,3,3,80,1,2,3,2,0,0,0,0
28,Yes,Travel_Rarely,182,Sales,2,1,Marketing,1,14,2,Male,52,2,2,Sales Executive,1,Divorced,5849,16032,2,Y,No,12,4,2,80,2,17,4,3,8,1,0,2
26,Yes,Travel_Rarely,115,Sales,3,3,Life Sciences,1,15,4,Male,66,4,2,Sales Executive,3,Married,5226,26656,2,Y,No,15,3,2,80,0,8,6,2,0,0,0,0
43,Yes,Travel_Rarely,1461,Sales,2,3,Marketing,1,16,4,Male,31,3,2,Sales Representative,1,Married,5279,13903,3,Y,No,11,3,4,80,0,7,2,4,6,2,0,3
39,Yes,Travel_Rarely,196,Sales,18,4,Technical Degree,1,17,1,Female,56,2,1,Sales Representative,3,Divorced,1985,13521,0,Y,Yes,20,4,3,80,1,4,3,3,1,1,0,1
52,Yes,Travel_Rarely,499,Research & Development,29,4,Medical,1,18,4,Male,86,3,1,Healthcare Representative,4,Married,2922,15320,3,Y,No,23,4,2,80,3,10,2,3,1,1,0,0
38,No,Travel_Rarely,667,Research & Development,7,1,Life Sciences,1,19,3,Female,98,4,3,Research Scientist,3,Married,7923,15622,4,Y,No,22,3,2,80,1,12,3,4,9,0,1,3
34,Yes,Travel_Frequently,885,Sales,6,3,Other,1,20,4,Female,99,3,2,Sales Executive,2,Single,4818,3859,2,Y,Yes,16,4,1,80,1,13,4,4,10,3,1,2
37,Yes,Non-Travel,641,Human Resources,2,3,Human Resources,1,21,4,Female,47,3,5,Manager,1,Single,12390,25445,6,Y,No,17,3,2,80,0,13,1,4,5,1,1,3
32,Yes,Travel_Rarely,472,Research & Development,4,4,Life Sciences,1,22,1,Female,80,3,5,Manufacturing Director,4,Married,12368,18278,1,Y,Yes,18,4,2,80,1,7,3,3,1,0,1,1
40,Yes,Travel_Frequently,1417,Research & Development,3,2,Life Sciences,1,23,1,Male,43,3,1,Healthcare Representative,4,Single,3130,17335,2,Y,No,20,3,3,80,0,10,3,4,1,1,1,0
18,No,Travel_Rarely,919,Sales,11,5,Other,1,24,3,Male,76,3,3,Sales Executive,4,Married,7560,24463,1,Y,No,18,3,3,80,1,5,2,4,5,1,3,4
46,Yes,Travel_Frequently,296,Research & Development,4,3,Medical,1,25,1,Female,65,2,3,Research Scientist,4,Married,7652,23968,0,Y,No,24,4,4,80,1,2,3,4,1,1,0,1
25,No,Travel_Rarely,1128,Research & Development,1,2,Medical,1,26,3,Female,41,4,4,Manager,3,Married,10236,11398,3,Y,No,21,3,1,80,2,3,2,3,3,0,1,3
23,Yes,Travel_Rarely,443,Sales,1,1,Marketing,1,27,4,Male,79,3,2,Sales Executive,3,Married,4529,15059,2,Y,Yes,14,3,2,80,2,10,1,4,7,3,1,0
37,No,Travel_Frequently,1245,Research & Development,1,2,Marketing,1,28,4,Female,63,4,3,Research Scientist,4,Married,7707,8581,4,Y,No,17,3,4,80,3,12,3,4,11,2,4,1
35,Yes,Travel_Rarely,702,Sales,22,2,Marketing,1,29,3,Female,39,2,2,Sales Representative,1,Single,4952,4841,2,Y,No,15,3,4,80,1,5,4,4,5,0,2,5
