Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Rarely,864,Research & Development,3,4,Medical,1,1,4,Male,91,1,4,Manufacturing Director,4,Single,10321,12730,1,Y,No,17,3,1,80,1,16,3,4,10,2,7,6
49,Yes,Travel_Rarely,1066,Sales,6,3,Medical,1,2,1,Female,40,4,2,Sales Executive,2,Single,4855,13193,2,Y,No,20,3,2,80,0,2,2,4,2,2,0,0
39,Yes,Travel_Rarely,1209,Human Resources,15,3,Human Resources,1,3,3,Male,93,3,1,Human Resources,4,Married,2540,17633,5,Y,No,23,3,4,80,2,16,3,4,10,4,0,1
29,No,Non-Travel,1045,Sales,1,3,Other,1,4,4,Female,61,4,3,Sales Executive,2,Married,7387,23881,3,Y,No,14,3,3,80,0,7,4,2,3,0,3,0
34,No,Travel_Rarely,1122,Sales,7,4,Medical,1,5,4,Female,58,3,2,Sales Representative,1,Married,4944,9634,2,Y,No,22,3,4,80,1,18,1,3,10,4,2,5
30,No,Travel_Rarely,129,Human Resources,1,4,Human Resources,1,6,4,Male,37,4,2,Human Resources,4,Married,5056,17585,4,Y,No,16,3,2,80,1,3,5,3,1,1,1,0
51,Yes,Travel_Rarely,502,Human Resources,1,2,Technical Degree,1,7,4,Female,45,2,1,Human Resources,4,Single,1819,5843,1,Y,No,17,3,4,80,1,27,3,4,20,0,0,0
18,Yes,Travel_Frequently,1097,Research & Development,13,2,Life Sciences,1,8,3,Male,91,3,1,Healthcare Representative,3,Married,2403,17878,3,Y,No,21,3,4,80,0,5,0,3,5,0,1,2
50,Yes,Travel_Rarely,255,Research & Development,6,2,Life Sciences,1,9,1,Male,43,3,4,Manufacturing Director,3,Divorced,10140,23357,4,Y,Yes,17,3,2,80,1,9,3,4,1,1,0,1
45,Yes,Travel_Rarely,451,Research & Development,29,2,Life Sciences,1,10,3,Female,78,3,5,Manufacturing Director,3,Divorced,13018,9478,1,Y,Yes,21,3,1,80,0,4,3,4,0,0,0,0
33,No,Travel_Rarely,185,Research & Development,16,1,Medical,1,11,3,Male,80,4,4,Manager,2,Divorced,10129,20553,4,Y,No,11,4,2,80,2,2,3,2,2,0,1,2
39,No,Travel_Rarely,1438,Sales,3,5,Life Sciences,1,12,3,Female,34,4,3,Sales Executive,3,Divorced,7108,15345,1,Y,No,23,3,4,80,1,12,4,3,3,1,3,0
26,Yes,Travel_Rarely,1391,Sales,6,2,Technical Degree,1,13,1,Male,96,3,2,Sales Representative,2,Married,4532,14410,2,Y,No,20,3,1,80,3,12,3,3,7,2,5,7
31,Yes,Travel_Rarely,1151,Research & Development,1,2,Life Sciences,1,14,3,Male,40,3,2,Research Scientist,4,Divorced,4734,6540,2,Y,No,12,3,2,80,0,13,3,1,4,3,0,4
35,Yes,Travel_Frequently,1248,Research & Development,6,3,Technical Degree,1,15,4,Male,94,3,5,Manager,2,Married,12987,8240,4,Y,No,23,3,2,80,1,9,4,2,3,0,1,2
44,No,Travel_Rarely,559,Research & Development,1,2,Technical Degree,1,16,3,Male,73,3,5,Manager,2,Married,12064,8318,2,Y,No,22,3,2,80,1,28,6,4,24,0,0,1
35,No,Travel_Rarely,1093,Sales,5,1,Medical,1,17,4,Male,57,3,2,Sales Executive,4,Divorced,5416,9199,0,Y,No,13,3,3,80,2,10,2,3,6,2,2,0
51,Yes,Travel_Rarely,1296,Research & Development,9,3,Medical,1,18,2,Male,59,4,2,Laboratory Technician,4,Divorced,4534,21142,0,Y,Yes,22,3,1,80,0,14,4,3,11,2,2,2
45,Yes,Travel_Rarely,509,Sales,1,3,Medical,1,19,3,Female,96,2,1,Sales Representative,1,Divorced,2596,22074,5,Y,No,22,3,3,80,0,3,3,3,2,0,2,2
